Name                                Password                       Role
                    
Akanksha Jain                       AljiN3@Gr33n	                Admin
Paridhi Jindal	                    bjzYy23!m8	                    User
Akash Sahu	                        THcr8*@6#vhq                    Moderator
Mayank Rastogi	                    Mayank@34#9	                    Admin
Rishi Puri	                        eVzw76#.c3.!z                   Admin
Khushi Thapar                       zwvAt67*.	                    Moderator
Arpit Sharma	                    G3qdg3!bqack$	                Admin
Pragya Shrivastav	                H@neshY3ll0w*	                User
Zoya                                IvnP@rpl3@!	                    Moderator
Nishtha Mahajan                     JqQ!3Or@nge9%	                User
